target,split,config,n,mae,rmse,r2
MeltingPoint,leave_group_out,mog_planar,103,765.4754540473011,916.3210141456207,-0.07317765326231518
MeltingPoint,leave_group_out,mog_stacked,103,776.6594369934977,926.5574963480359,-0.09728912774342646
MeltingPoint,leave_group_out,mog_cylinder,103,803.98800088031,957.2761979083351,-0.17125335819151322
MeltingPoint,leave_group_out,mog_sphere,103,752.5387930288742,925.3150816721743,-0.09434840553366053
MeltingPoint,leave_group_out,gray_message_bits,103,740.1355977449163,920.3193083798756,-0.08256353749873835
MeltingPoint,leave_group_out,gray_golay_bits,103,817.6172763077009,1021.6633342396805,-0.334110932588094
MeltingPoint,leave_group_out,gray_mog_planar,103,822.0215199500212,1009.8767627308828,-0.30350615541415893
MeltingPoint,leave_group_out,gray_mog_stacked,103,848.4427250675362,1046.0636216251482,-0.39859678706307977
MeltingPoint,leave_group_out,gray_mog_cylinder,103,827.5092406495194,1021.2118994213947,-0.33293220560974524
MeltingPoint,leave_group_out,gray_mog_sphere,103,822.0276308701401,1002.159425781858,-0.2836598542163058
MeltingPoint,leave_group_out,random_00,103,753.2808312049259,928.3282436478637,-0.10148720163655844
MeltingPoint,leave_group_out,random_01,103,774.5894866992751,962.250566229587,-0.1834575335364239
MeltingPoint,leave_group_out,random_02,103,734.6911469284095,908.3053126680459,-0.05448410259176972
MeltingPoint,leave_group_out,random_03,103,771.2445630086567,953.0622781119388,-0.16096436413785908
MeltingPoint,leave_group_out,random_04,103,822.0712983072461,1001.8620219947211,-0.2828980818968103
MeltingPoint,leave_group_out,random_05,103,758.2770396967312,950.8121706833408,-0.15548893847929945
MeltingPoint,leave_group_out,random_06,103,771.7446809137163,953.3818169194003,-0.1617429813722695
MeltingPoint,leave_group_out,random_07,103,751.3219996013016,952.6709645153351,-0.16001120947724634
MeltingPoint,shuffled_target,z_poly,103,705.1555542386619,877.4762710140594,0.01588219364888932
MeltingPoint,shuffled_target,mog_planar,103,757.6067181019083,932.4699610433303,-0.1113376515792226
BoilingPoint,leave_period_out,z_poly,93,1286.8423763952242,1491.8074457420623,0.1083489312444692
BoilingPoint,leave_period_out,message_bits,93,1325.9427712626025,1585.3420502994434,-0.006967263799607881
BoilingPoint,leave_period_out,golay_bits,93,1384.7865651207558,1660.0672266477998,-0.10413136004197021
BoilingPoint,leave_period_out,mog_planar,93,1405.9731030883115,1669.251231771304,-0.11638194565039495
BoilingPoint,leave_period_out,mog_stacked,93,1430.5278513444127,1698.4735483444606,-0.15581138732055488
BoilingPoint,leave_period_out,mog_cylinder,93,1405.8197103878888,1692.3470088713427,-0.14748820444327837
BoilingPoint,leave_period_out,mog_sphere,93,1425.1351966728416,1706.2934395953132,-0.1664787608478575
BoilingPoint,leave_period_out,gray_message_bits,93,1537.13927114377,1740.3394888711207,-0.21349318811342366
BoilingPoint,leave_period_out,gray_golay_bits,93,1505.1008500585967,1765.294601187155,-0.24854379208994848
BoilingPoint,leave_period_out,gray_mog_planar,93,1456.981882041721,1743.0525235932807,-0.21727959339534375
BoilingPoint,leave_period_out,gray_mog_stacked,93,1470.1730312605023,1755.505112865582,-0.23473452255194815
BoilingPoint,leave_period_out,gray_mog_cylinder,93,1504.0919873385972,1783.9817312327477,-0.27511747904589723
BoilingPoint,leave_period_out,gray_mog_sphere,93,1480.9878480634877,1759.2099976958477,-0.2399516834930937
BoilingPoint,leave_period_out,random_00,93,1367.3774026965068,1606.1603291044707,-0.03358734565773713
BoilingPoint,leave_period_out,random_01,93,1448.9226659799638,1716.4886167374132,-0.18045992762368912
BoilingPoint,leave_period_out,random_02,93,1392.187184757159,1659.587199706203,-0.10349290858431703
BoilingPoint,leave_period_out,random_03,93,1438.424849007535,1683.4597075376607,-0.13546786111797804
BoilingPoint,leave_period_out,random_04,93,1525.8472726325788,1842.3724483415,-0.35995411151423284
BoilingPoint,leave_period_out,random_05,93,1355.577343433576,1660.02680895062,-0.10407759607027045
BoilingPoint,leave_period_out,random_06,93,1363.2371379127337,1625.2458826165737,-0.05829694530133356
BoilingPoint,leave_period_out,random_07,93,1371.5591668607458,1664.7542608400377,-0.11037497119861217
BoilingPoint,leave_group_out,z_poly,93,1344.0157030716432,1549.2464102449023,0.038364714406587175
BoilingPoint,leave_group_out,message_bits,93,1176.8861881326916,1410.3457647501498,0.203069238307655
BoilingPoint,leave_group_out,golay_bits,93,1271.0976627813277,1528.806177072976,0.06357230139900227
BoilingPoint,leave_group_out,mog_planar,93,1480.0766801081138,1717.3121728954227,-0.18159294796966585
BoilingPoint,leave_group_out,mog_stacked,93,1479.3941150453372,1727.8182248560488,-0.19609450392079864
BoilingPoint,leave_group_out,mog_cylinder,93,1517.7042912667764,1772.5449141728056,-0.25882074287790946
BoilingPoint,leave_group_out,mog_sphere,93,1441.4836343094855,1710.4626960850858,-0.17218620919845273
BoilingPoint,leave_group_out,gray_message_bits,93,1402.5368313202157,1609.4478019866963,-0.037822748179668686
BoilingPoint,leave_group_out,gray_golay_bits,93,1475.2307544170512,1771.9050249606248,-0.25791203764501547
BoilingPoint,leave_group_out,gray_mog_planar,93,1458.6231337717275,1744.7205927077705,-0.21961053643300277
BoilingPoint,leave_group_out,gray_mog_stacked,93,1487.7735849312019,1793.1274334747677,-0.2882249421973295
BoilingPoint,leave_group_out,gray_mog_cylinder,93,1488.7284556512548,1774.7712621821663,-0.2619849313545828
BoilingPoint,leave_group_out,gray_mog_sphere,93,1528.1710690690095,1792.1345419362194,-0.2867987038854809
BoilingPoint,leave_group_out,random_00,93,1342.1262371473376,1593.0138164321943,-0.01673664982478229
BoilingPoint,leave_group_out,random_01,93,1483.7830949868455,1747.8212755378088,-0.22394932372116938
BoilingPoint,leave_group_out,random_02,93,1334.7007589599818,1595.5874178209099,-0.02002449142159346
BoilingPoint,leave_group_out,random_03,93,1482.9221151648565,1735.8522532484335,-0.20724359141899584
BoilingPoint,leave_group_out,random_04,93,1479.5779182479562,1766.253440391983,-0.24990048106338403
BoilingPoint,leave_group_out,random_05,93,1385.6382690001628,1707.6536886395993,-0.16833932484968184
BoilingPoint,leave_group_out,random_06,93,1385.9932033324237,1672.431006749209,-0.12063921307272696
BoilingPoint,leave_group_out,random_07,93,1359.7725958012725,1624.4876983302145,-0.057309775341431335
BoilingPoint,shuffled_target,z_poly,93,1376.9147511548078,1614.325883556801,-0.04412336397773342
BoilingPoint,shuffled_target,mog_planar,93,1408.0931951939508,1705.7282336609912,-0.16570610181202983
Density,leave_period_out,z_poly,96,3.1520155138410306,4.143381759812392,0.4980087534514972
Density,leave_period_out,message_bits,96,3.5073870340130733,4.360113254419503,0.44411905767316073
Density,leave_period_out,golay_bits,96,3.603095971561715,4.473340593974052,0.4148729488315852
Density,leave_period_out,mog_planar,96,4.6762312038163545,5.943972442796907,-0.03309395212420552
Density,leave_period_out,mog_stacked,96,4.7841126298156516,6.063046645483657,-0.07490000136756647
Density,leave_period_out,mog_cylinder,96,4.766812840639255,6.091307310990797,-0.08494385809355443
Density,leave_period_out,mog_sphere,96,5.022974552667439,6.237310508801769,-0.1375774492170303
Density,leave_period_out,gray_message_bits,96,4.004062132819193,4.816402773827068,0.3216843452353759
Density,leave_period_out,gray_golay_bits,96,4.104904266231414,4.898576053307484,0.2983412349065212
Density,leave_period_out,gray_mog_planar,96,4.633447237701135,6.065198486553057,-0.07566312412105725
Density,leave_period_out,gray_mog_stacked,96,4.785096191585766,6.205363769941774,-0.12595422786136057
Density,leave_period_out,gray_mog_cylinder,96,4.759766983047594,6.175353928601614,-0.11509007756845002
